	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36
1068	560683	C0007370	Catalepsy	C0038273	Stereotypic Movement Disorder	C0001721	Affect (mental function)	C0007370	Catalepsy	C0038273	Stereotypic Movement Disorder	C1273517	Used by	C0007370	Catalepsy	C4288084	Two to Three Activity Hours	C0007370	Catalepsy	C0007370	Catalepsy	C0007370	Catalepsy	C0007370	Catalepsy	C0001721	Affect (mental function)	C0007370	Catalepsy	C0001721	Affect (mental function)	C0038273	Stereotypic Movement Disorder	C0038273	Stereotypic Movement Disorder	C0001721	Affect (mental function)	C0038273	Stereotypic Movement Disorder																																		
1069	560034	C3842674	Day 5																																																																						
1070	558328	C0080194	Muscle strain	C2825142	Experimental Result	C0080194	Muscle strain	C2676137	Diamond-Blackfan Anemia 1	C0080194	Muscle strain	C1261287	Stenosis	C0278080	Physical addiction	C3844638	Either	C2825032	Withdrawal (dysfunction)	C3842675	Day 3	C0278080	Physical addiction	C2825142	Experimental Result	C2825032	Withdrawal (dysfunction)																																														
1071	404894	C0085624	Burning sensation	C0564405	Feeling relief	C0278140	Severe pain	C0085624	Burning sensation	C0564405	Feeling relief	C0234230	Pain, Burning	C0596545	Experience	C0683278	Mental Suffering	C1962977	Pain NOS Adverse Event	C2825142	Experimental Result	C0559546	Adverse reactions	C0596130	attribution	C0683954	research results																																														
1072	323463	C0151824	Biliary Colic	C1962977	Pain NOS Adverse Event	C0150312	Present	C0948482	analgesic effect	C1962977	Pain NOS Adverse Event	C1273517	Used by	C0559546	Adverse reactions	C0150312	Present																																																								
1073	323299	C0011991	Diarrhea	C0241938	Hypotonicity	C0150312	Present	C0424295	Hyperactive behavior	C0849912	Emotional	C0424295	Hyperactive behavior	C0011991	Diarrhea	C0011991	Diarrhea	C0859029	lactose diarrhea																																																						
1074	267105	C0442726	Detected (finding)																																																																						
1075	266004	C0235195	Sedated state	C0150012	At risk for aspiration	C2827071	Unintentional Material Aspiration	C0235195	Sedated state	C2827071	Unintentional Material Aspiration	C0240602	opioid use	C2827071	Unintentional Material Aspiration																																																										
1076	196268	C0233660	Mental blocking	C1955473	Others - Allergy	C0150312	Present	C1963087	Constipation Adverse Event	C0229992	Psyche structure	C0150312	Present	C0344307	Absence of pain sensation	C0011570	Mental Depression	C0010200	Coughing	C0007370	Catalepsy	C0229992	Psyche structure																																																		
1077	194249																																																																								
1078	141228	C0235195	Sedated state	C0557351	Employed	C0020440	Hypercapnia	C0003578	Apnea	C0085631	Agitation	C0009566	Complication																																																												
1079	67128	C0030201	Pain, Postoperative	C2825142	Experimental Result	C3843645	1-10	C0014518	Toxic Epidermal Necrolysis	C1273517	Used by	C2984079	Somewhat	C0879626	Adverse effects	C0948482	analgesic effect	C0557351	Employed	C0278140	Severe pain																																																				
1080	17687	C0332128	Examined	C0850310	Possessed	C0150312	Present																																																																		
1081	17321	C0162340	Comprehension	C1962977	Pain NOS Adverse Event	C4518791	Opiate tolerance	C0439857	Dependence																																																																
1082	16135	C3845262	6+11	C2825142	Experimental Result																																																																				
1083	16134	C1510411	metaplastic cell transformation	C0150312	Present	C1514893	physiologic resolution	C0543488	Interested	C0683317	activity level																																																														
1084	16133	C0948482	analgesic effect	C0600688	Toxic effect	C0600688	Toxic effect																																																																		
1085	15456	C3838679	4+ Answer to question	C3843708	29+	C1444656	Indicated	C0748864	small size	C4321237	High Level																																																														
1086	407604	C4281574	Much	C1273517	Used by	C1273517	Used by	C0080194	Muscle strain	C1705285	Mutation Abnormality																																																														
1087	407598	C0221198	Lesion	C0221198	Lesion	C1444656	Indicated	C0035397	Rewards	C0221198	Lesion	C0221198	Lesion	C0221198	Lesion	C1518681	Outcome of Therapy	C0035007	Psychological reinforcement																																																						
1088	407595	C1514241	Positive Finding	C3844126	Can Do Very Little	C0870186	avoidance	C1709157	Negative Surgical Margin	C0087136	Unmarried	C4321237	High Level	C0524662	Opiate Addiction																																																										
1089	869972																																																																								
1090	67297	C1705232	Death Related to Adverse Event	C0032343	Poisoning	C0038661	Suicide	C0033213	Problem	C0567565	Dextropropoxyphene poisoning																																																														
1091	868306	C0032343	Poisoning	C0086045	Mental concentration																																																																				
1092	860184	C0032343	Poisoning	C1705232	Death Related to Adverse Event	C1457887	Symptoms																																																																		
1093	558097	C3838679	4+ Answer to question	C3842675	Day 3	C0344315	Depressed mood	C2825142	Experimental Result																																																																
1094	15848	C3842672	Day 7	C3844638	Either	C3843766	<50	C0220929	Mental tolerance	C3842672	Day 7	C0151889	Hyperreflexia	C1832073	Handling	C2825032	Withdrawal (dysfunction)	C0040822	Tremor	C1262477	Weight decreased	C2911645	Weight Loss Adverse Event																																																		
1095	15847	C0741302	atypia morphology	C1273517	Used by	C0005904	Body Temperature Changes	C0005904	Body Temperature Changes	C0015967	Fever	C0015967	Fever	C0015967	Fever	C0015967	Fever	C0015967	Fever	C2825142	Experimental Result	C0015967	Fever	C0750558	Unlikely																																																
1096	889647	C0332128	Examined	C0235063	Respiratory Depression	C0428679	Minute volume	C0600688	Toxic effect																																																																
1097	882576	C4297006	Increase dose	C0683317	activity level	C3844638	Either	C2825142	Experimental Result	C0344307	Absence of pain sensation																																																														
1098	879147	C1555319	discharge diagnosis	C0023895	Liver diseases	C0085281	Addictive Behavior	C0858353	addicted to heroin	C0023890	Liver Cirrhosis	C0085762	Alcohol abuse	C0023895	Liver diseases	C0023895	Liver diseases	C0858353	addicted to heroin																																																						
1099	878537	C0549159	Infant Death	C0040028	Thrombocythemia, Essential	C0332128	Examined	C1273517	Used by																																																																
1100	878536	C1705232	Death Related to Adverse Event	C1135363	Apneic spells of newborn NOS																																																																				
1101	876670	C0596002	Observation of reflex	C1962977	Pain NOS Adverse Event	C3843766	<50	C0162703	Pain Threshold	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C0162703	Pain Threshold	C0162703	Pain Threshold	C0542538	Observation of Sensation	C0150312	Present																																																				
1102	876669	C0150055	Chronic pain	C1962977	Pain NOS Adverse Event	C0582148	Pain score	C0582148	Pain score	C1962977	Pain NOS Adverse Event	C3843661	Too little	C0312418	Personality Sensitivity	C0150055	Chronic pain																																																								
1103	866816	C3670832	Mass of heart	C0518010	body mass	C3841798	Not well	C0150312	Present																																																																
1104	860807	C1963281	Vomiting Adverse Event																																																																						
1105	860801	C0600688	Toxic effect																																																																						
1106	857559	C0600138	Does play																																																																						
1107	855849	C1273517	Used by	C0947343	study.total	C3844638	Either																																																																		
1108	853375	C1273517	Used by																																																																						
1109	853370	C0489618	pupil diameter	C0489618	pupil diameter	C0750484	Confirmation																																																																		
1110	852141	C0600688	Toxic effect	C0150312	Present	C0020792	Identification (Psychology)																																																																		
