	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36	CUI37	PTerm37	CUI38	PTerm38	CUI39	PTerm39	CUI40	PTerm40	CUI41	PTerm41	CUI42	PTerm42	CUI43	PTerm43	CUI44	PTerm44	CUI45	PTerm45	CUI46	PTerm46
2194	6470567	C0521863	Victim of trauma	C0450407	ph+	C0450407	ph+	C3843766	<50	C0004268	Attention	C0240292	mg++ increased	C0442750	Distance vision 6/6	C0449381	Observation parameter																																																																												
2195	6469937	C0262926	Medical History	C0524662	Opiate Addiction	C0242510	Drug usage	C3842331	Automatically	C0233660	Mental blocking	C1444656	Indicated	C1306597	Psychiatric problem	C0392751	In prison (finding)	C0233660	Mental blocking																																																																										
2196	6469936	C1527402	Narcotic Dependence	C0013146	Drug abuse	C3843708	29+	C4281574	Much	C0150312	Present	C1273517	Used by																																																																																
2197	6469935	C0858353	addicted to heroin	C0858353	addicted to heroin	C3843766	<50	C3842672	Day 7	C1273517	Used by																																																																																		
2198	6469934	C0740209	Encounter due to counseling	C0087169	Withdrawal Symptoms	C0679199	strategy																																																																																						
2199	6469933	C0035280	Retention (Psychology)	C0184512	Stabilized (qualifier value)	C1963179	Nausea Adverse Event	C0000729	Abdominal Cramps																																																																																				
2200	6465581	C3843766	<50	C0237607	Practice Experience	C2360800	Number of patients	C0450407	ph+	C0450407	ph+																																																																																		
2201	6465579	C0441960	N2 category	C0555966	Injection given	C3843504	1 - 3	C4035626	3 times																																																																																				
2202	6465575	C0362037	Postoperative depression	C0235063	Respiratory Depression	C2825142	Experimental Result	C0235063	Respiratory Depression																																																																																				
2203	6463046	C0424099	Reduced concentration																																																																																										
2204	6443596	C0014518	Toxic Epidermal Necrolysis	C0428886	Mean blood pressure	C1272641	Systemic arterial pressure	C3843766	<50																																																																																				
2205	6441435	C3843766	<50	C0449381	Observation parameter	C0239110	Consciousness clear	C0520905	Vomiting, Postoperative																																																																																				
2206	6437644	C0041657	Unconscious State	C0026837	Muscle Rigidity	C0683954	research results	C3842553	Can Do With Much Difficulty																																																																																				
2207	6437280	C1704632	Disease Response	C0332128	Examined	C4011625	Low testosterone levels	C1446409	Positive	C0085639	Falls	C0022735	Klinefelter Syndrome	C0342527	Deficiency of testosterone biosynthesis	C1704257	Molecular Genetic Abnormality																																																																												
2208	6437268	C0475746	Light anesthesia	C3840892	Day 4	C0010200	Coughing	C0423730	Painful cough	C0334463	Malignant Fibrous Histiocytoma	C0036916	Sexually Transmitted Diseases	C3846005	Room air																																																																														
2209	6435983	C0022658	Kidney Diseases	C0009566	Complication	C1273517	Used by	C1273518	Responsible to	C0160420	Injury of kidney	C0332128	Examined	C0150312	Present	C0150312	Present	C0236734	Caffeine related disorders	C0022658	Kidney Diseases	C0150312	Present																																																																						
2210	6435708	C0234421	Conscious	C0150312	Present																																																																																								
2211	6433750	C0086045	Mental concentration	C2825142	Experimental Result	C1273517	Used by	C0150312	Present	C3843708	29+	C2825141	Experimental Finding	C1273517	Used by	C1320226	Incubation period	C0750479	blank	C0332128	Examined	C3838679	4+ Answer to question																																																																						
2212	6432587	C0332128	Examined	C3843708	29+	C1532216	Oral temperature	C0085639	Falls	C0018790	Cardiac Arrest	C0002453	Amenorrhea	C3840775	Anticipated	C1704632	Disease Response	C0600138	Does play	C0002453	Amenorrhea	C1554187	Gender Status - Intact	C0012634	Disease	C0002453	Amenorrhea	C0003125	Anorexia Nervosa																																																																
2213	6431053	C0150312	Present	C2825141	Experimental Finding	C0332128	Examined	C1706968	Blockage (obstruction - finding)	C2825141	Experimental Finding																																																																																		
2214	6395941	C0412771	Spontaneous respiration																																																																																										
2215	6394055	C0678356	alcohol effect	C0332128	Examined	C0449381	Observation parameter	C0423896	Feeling content	C0449381	Observation parameter	C3844638	Either	C0678356	alcohol effect																																																																														
2216	6390646	C0497156	Lymphadenopathy	C0009450	Communicable Diseases	C0439663	Infected	C1527169	Encounter due to being a donor	C0332167	High risk of																																																																																		
2217	6390541	C0332128	Examined	C0342895	Fish-Eye Disease	C0015663	Fasting	C0015663	Fasting	C0332149	Possible																																																																																		
2218	6389947	C0150312	Present	C0020624	Hypomenorrhea	C0020624	Hypomenorrhea	C0585970	Problem was normal state	C0003123	Anorexia	C0020624	Hypomenorrhea	C0020624	Hypomenorrhea	C2825142	Experimental Result	C0001721	Affect (mental function)	C0020175	Hunger	C0020624	Hypomenorrhea																																																																						
2219	6389379	C0030201	Pain, Postoperative	C0683278	Mental Suffering	C0027497	Nausea	C0235195	Sedated state	C0879626	Adverse effects																																																																																		
2220	6387525	C0150312	Present	C0004268	Attention	C1273517	Used by	C0150312	Present																																																																																				
2221	6384958	C1558916	Adverse Event Associated with Syndromes																																																																																										
2222	6381692	C0541749	Does turn (finding)	C0871938	time out	C3844638	Either	C0150312	Present	C4297007	Decrease dose	C4297007	Decrease dose	C1853237	Isolated cases																																																																														
2223	6381473	C0240602	opioid use	C0034936	Conditioned Reflex	C0233622	Ritual compulsion	C0237607	Practice Experience	C0085281	Addictive Behavior	C0087169	Withdrawal Symptoms	C0009647	Conditioning (Psychology)	C1963107	Euphoria Adverse Event	C0023185	Learning	C0036849	Set (Psychology)	C0700323	Observation of Neuromuscular Block	C0003808	Arousal	C0231218	Malaise	C0015347	Extinction, Psychological	C0003808	Arousal	C0085281	Addictive Behavior																																																												
2224	6380862	C0332679	Crushing injury	C0017086	Gangrene	C0033213	Problem	C0017086	Gangrene	C0150312	Present	C0017086	Gangrene	C0683954	research results	C0017086	Gangrene	C0034065	Pulmonary Embolism	C0521173	Granulomatosis	C0700285	Drug addict	C0033213	Problem	C0017086	Gangrene																																																																		
